country,continent,year,lifeExp,pop,gdpPercap
Argentina,Americas,2007,75.32,40.301927,12779.37964
Bolivia,Americas,2007,65.554,9.119152,3822.137084
Brazil,Americas,2007,72.39,190.010647,9065.800825
Canada,Americas,2007,80.653,33.390141,36319.23501
Chile,Americas,2007,78.553,16.284741,13171.63885
Colombia,Americas,2007,72.889,44.22755,7006.580419
Costa Rica,Americas,2007,78.782,4.133884,9645.06142
Cuba,Americas,2007,78.273,11.416987,8948.102923
Dominican Republic,Americas,2007,72.235,9.319622,6025.374752
Ecuador,Americas,2007,74.994,13.75568,6873.262326
El Salvador,Americas,2007,71.878,6.939688,5728.353514
Guatemala,Americas,2007,70.259,12.572928,5186.050003
Haiti,Americas,2007,60.916,8.502814,1201.637154
Honduras,Americas,2007,70.198,7.483763,3548.330846
Jamaica,Americas,2007,72.567,2.780132,7320.880262
Mexico,Americas,2007,76.195,108.700891,11977.57496
Nicaragua,Americas,2007,72.899,5.675356,2749.320965
Panama,Americas,2007,75.537,3.242173,9809.185636
Paraguay,Americas,2007,71.752,6.667147,4172.838464
Peru,Americas,2007,71.421,28.674757,7408.905561
Puerto Rico,Americas,2007,78.746,3.942491,19328.70901
Trinidad and Tobago,Americas,2007,69.819,1.056608,18008.50924
United States,Americas,2007,78.242,301.139947,42951.65309
Uruguay,Americas,2007,76.384,3.447496,10611.46299
Venezuela,Americas,2007,73.747,26.084662,11415.80569
